order Nx err
1 1 0.0545326
2 1 0.0116252
3 1 0.000202851
4 1 0.000297052
5 1 9.59497e-06
6 1 4.76396e-06
7 1 3.23801e-07
8 1 5.54163e-08
9 1 5.74629e-09
10 1 4.88308e-10
1 2 0.0171902
2 2 0.00141515
3 2 0.000100735
4 2 8.22054e-06
5 2 5.65838e-07
6 2 3.55855e-08
7 2 2.20528e-09
8 2 1.29975e-10
9 2 6.32683e-12
10 2 3.98364e-13
1 4 0.00424519
2 4 0.000184507
3 4 6.30233e-06
4 4 2.63734e-07
5 4 8.69972e-09
6 4 2.80111e-10
7 4 8.60573e-12
8 4 2.45253e-13
9 4 2.22657e-14
10 4 2.3209e-14
1 8 0.00104312
2 8 2.34873e-05
3 8 3.92856e-07
4 8 8.34281e-09
5 8 1.3534e-10
6 8 2.21751e-12
7 8 6.00907e-14
8 8 4.13739e-14
9 8 4.94745e-14
10 8 4.98754e-14
1 16 0.000257849
2 16 2.95826e-06
3 16 2.44863e-08
4 16 2.61949e-10
5 16 2.1327e-12
6 16 7.85628e-14
7 16 7.71663e-14
8 16 7.75197e-14
9 16 8.6206e-14
10 16 8.28352e-14
1 32 6.40581e-05
2 32 3.71027e-07
3 32 1.52776e-09
4 32 8.20783e-12
5 32 1.07067e-13
6 32 8.84145e-14
7 32 9.44716e-14
8 32 9.53943e-14
9 32 1.09173e-13
10 32 9.74015e-14
1 64 1.59618e-05
2 64 4.64511e-08
3 64 9.5418e-11
4 64 2.84001e-13
5 64 1.04314e-13
6 64 9.19797e-14
7 64 1.00497e-13
8 64 1.04772e-13
9 64 1.29224e-13
10 64 1.01195e-13
1 128 3.98371e-06
2 128 5.81075e-09
3 128 5.96052e-12
4 128 3.54703e-14
5 128 3.2444e-14
6 128 3.26515e-14
7 128 1.87493e-14
8 128 3.56599e-14
9 128 1.05814e-13
10 128 9.96765e-15
1 256 9.95076e-07
2 256 7.26627e-10
3 256 3.77822e-13
4 256 5.74546e-14
5 256 6.32957e-14
6 256 6.54758e-14
7 256 4.05855e-14
8 256 8.07686e-14
9 256 2.0759e-13
10 256 8.79858e-15
1 512 2.48662e-07
2 512 9.08753e-11
3 512 5.74888e-14
4 512 1.11908e-13
5 512 1.28612e-13
6 512 1.2994e-13
7 512 7.87567e-14
8 512 1.54993e-13
9 512 4.10611e-13
10 512 2.12041e-14
1 1024 6.21521e-08
2 1024 1.1416e-11
3 1024 1.06212e-13
4 1024 2.24443e-13
5 1024 2.65098e-13
6 1024 2.55822e-13
7 1024 1.45953e-13
8 1024 3.20609e-13
9 1024 7.97638e-13
10 1024 5.97135e-14
