order Nx err
1 1 0.0457232
2 1 0.00809627
3 1 0.000334174
4 1 2.34623e-05
5 1 7.34187e-07
6 1 3.30243e-08
7 1 8.38465e-10
8 1 2.76377e-11
9 1 5.89306e-13
10 1 9.54792e-15
1 2 0.0266425
2 2 0.00100498
3 2 2.32619e-05
4 2 7.26949e-07
5 2 1.25051e-08
6 2 2.62467e-10
7 2 6.16012e-12
8 2 2.81408e-12
9 2 2.83718e-12
10 2 2.82905e-12
1 4 0.00829636
2 4 0.000121987
3 4 1.5133e-06
4 4 2.22804e-08
5 4 1.91136e-10
6 4 1.66321e-11
7 4 1.5197e-11
8 4 1.51903e-11
9 4 1.51675e-11
10 4 1.51684e-11
1 8 0.00226316
2 8 1.49263e-05
3 8 9.61289e-08
4 8 6.72266e-10
5 8 2.51127e-11
6 8 2.6822e-11
7 8 2.67992e-11
8 8 2.68015e-11
9 8 2.67803e-11
10 8 2.67847e-11
1 16 0.000588451
2 16 1.84288e-06
3 16 6.06644e-09
4 16 2.69272e-11
5 16 3.1555e-11
6 16 3.16048e-11
7 16 3.15837e-11
8 16 3.15775e-11
9 16 3.155e-11
10 16 3.15734e-11
1 32 0.000149885
2 32 2.28859e-07
3 32 3.97791e-10
4 32 3.26444e-11
5 32 3.29552e-11
6 32 3.29947e-11
7 32 3.29595e-11
8 32 3.29521e-11
9 32 3.29052e-11
10 32 3.29592e-11
1 64 3.78138e-05
2 64 2.85254e-08
3 64 5.00961e-11
4 64 3.33566e-11
5 64 3.32917e-11
6 64 3.33736e-11
7 64 3.33085e-11
8 64 2.23782e-12
9 64 2.15586e-12
10 64 2.27032e-12
1 128 9.49604e-06
2 128 3.57509e-09
3 128 3.42019e-11
4 128 2.35724e-12
5 128 2.21409e-12
6 128 2.36808e-12
7 128 2.24309e-12
8 128 2.19485e-12
9 128 2.05794e-12
10 128 2.28914e-12
1 256 2.37931e-06
2 256 4.45521e-10
3 256 2.27986e-12
4 256 2.42504e-12
5 256 2.1467e-12
6 256 2.4438e-12
7 256 2.21258e-12
8 256 2.11899e-12
9 256 1.87748e-12
10 256 2.3186e-12
1 512 5.95492e-07
2 512 5.68197e-11
3 512 2.17911e-12
4 512 2.56881e-12
5 512 2.01104e-12
6 512 2.60613e-12
7 512 2.12845e-12
8 512 1.98078e-12
9 512 1.66424e-12
10 512 2.35093e-12
1 1024 1.48955e-07
2 1024 8.55296e-12
3 1024 2.05869e-12
4 1024 2.86092e-12
5 1024 1.78534e-12
6 1024 2.94818e-12
7 1024 1.99261e-12
8 1024 1.73405e-12
9 1024 1.96652e-12
10 1024 2.44812e-12
